Tsunami,Latitude,Longitude,Depth,Deaths,Missing,Injuries,Damage,Houses Destroyed,Houses Damaged
1.0,18.347,20.2718,33.6,435.4,33.6,1542.6,11000000.0,5679.8,0.0
1.0,2.9175000000000004,24.9495,34.5,10250.0,0.0,0.0,10750000.0,0.0,0.0
1.0,9.578999999999999,76.59833333333334,34.666666666666664,500.0,0.0,0.0,8500000.0,666.6666666666666,0.0
1.0,52.755,160.05700000000004,22.0,50.0,0.0,0.0,0.0,0.0,0.0
1.0,61.017,-147.648,33.0,65.0,0.0,0.0,27500284.0,1000.0,0.0
1.0,-38.143,-73.407,33.0,7000.0,0.0,8000.0,27501000.0,63622.0,0.0
