Tsunami,Name,Latitude,Longitude,Depth,Magnitude,Date,Deaths,Missing,Injuries,Damage,Houses Destroyed,Houses Damaged
1,RUSSIA: OFF KAMCHATKA,52.0,158.0,30.0,8.4,1841-05-17,0.0,0.0,0.0,2500000.0,0.0,0.0
0.0,AZERBAIJAN: APSCHERON PENINSULA,40.5,50.0,3.0,4.3,1842-01-02,0.0,0.0,0.0,2500000.0,0.0,0.0
1,GUADELOUPE: POINTE-A-PITRE,16.5,-62.2,33.0,8.3,1843-02-08,10000.0,0.0,0.0,27500000.0,0.0,0.0
0.0,BALKANS NW: SLOVENIA: LJUBLJANA,46.1,14.5,7.0,4.9,1845-12-21,0.0,0.0,0.0,2500000.0,0.0,0.0
0.0,PERU,-14.0,-76.8,50.0,7.9,1846-06-28,0.0,0.0,0.0,0.0,0.0,0.0
1,"ITALY: ORCIANO, LUCIANA",43.4,10.6,5.0,6.1,1846-08-14,156.0,0.0,0.0,12500000.0,0.0,0.0
0.0,VENEZUELA: TACHIRA (LOBATERA),7.3,-72.3,13.0,6.0,1849-02-26,90.0,0.0,0.0,2500000.0,0.0,0.0
1,RUSSIA: KOMANDORSKY ISLAND,55.0,166.0,20.0,7.5,1849-10-28,0.0,0.0,0.0,0.0,0.0,0.0
1,INDONESIA: JAVA: DJAKARTA; SUMATRA: TELUKBETUNG,-6.5,105.5,150.0,6.5,1852-01-09,0.0,0.0,0.0,500000.0,0.0,50.0
0.0,IRAN: KHABUSHAN (NW KUCHAN),37.1,58.4,10.0,5.8,1852-02-22,7000.0,0.0,0.0,12500000.0,0.0,0.0
1,INDONESIA: MALUKU: BANDANAIRA,-5.25,129.75,100.0,8.3,1852-11-25,0.0,0.0,0.0,12500000.0,1000.0,0.0
1,VENEZUELA: CUMANA,10.5,-64.2,14.0,6.7,1853-07-15,2000.0,0.0,0.0,12500000.0,1000.0,0.0
0.0,RUSSIA: KOMANDORSKY ISLAND,55.0,166.0,20.0,7.5,1858-01-22,0.0,0.0,0.0,0.0,0.0,0.0
0.0,AZERBAIJAN: SHEMAKHA (SEMACHA),40.7,48.5,10.0,5.9,1859-06-11,200.0,0.0,0.0,2500000.0,0.0,0.0
1,"INDONESIA: LAGUNDI, SIMUK, TELLO I",-1.0,97.5,70.0,8.5,1861-02-16,1000.0,0.0,0.0,2500000.0,0.0,0.0
0.0,RUSSIA: LAKE BAYKAL,52.3,106.7,40.0,7.5,1862-01-12,0.0,0.0,0.0,0.0,0.0,0.0
0.0,GREECE: CEPHALONIA,38.4,20.2,100.0,7.9,1867-02-04,1200.0,0.0,0.0,12500000.0,0.0,0.0
1,VIRGIN ISLANDS,18.1,-65.1,33.0,7.5,1867-11-18,0.0,0.0,0.0,12500000.0,0.0,0.0
0.0,UZBEKISTAN: TASHKENT; KAZAKHSTAN: TURKESTAN,41.2,69.6,18.0,6.5,1868-04-03,0.0,0.0,0.0,12500000.0,0.0,0.0
1,CHILE: ARICA,-18.6,-71.0,25.0,8.5,1868-08-13,30000.0,0.0,0.0,27500000.0,0.0,0.0
0.0,"ECUADOR: GUAYAQUIL,IBARRA; COLOMBIA: SAN PABLO",0.31,-78.18,20.0,7.7,1868-08-16,75000.0,0.0,0.0,27500000.0,5000.0,0.0
0.0,GEORGIA: SPASK,41.2,43.8,15.0,4.5,1868-10-18,0.0,0.0,0.0,2500000.0,0.0,0.0
1,"CHILE: IQUIQUE, PICA; PERU: TACNA",-19.6,-70.23,30.0,7.5,1869-08-24,0.0,0.0,0.0,500000.0,0.0,0.0
1,"UKRAINE: CRIMEA: SUDAK, FEODOSIA",44.75,35.0,18.0,5.6,1869-10-11,0.0,0.0,0.0,500000.0,50.0,0.0
0.0,IRAN: QUCHAN,37.3,58.3,15.0,5.6,1871-12-23,7000.0,0.0,0.0,12500000.0,0.0,0.0
0.0,IRAN: QUCHAN,37.3,58.3,15.0,6.3,1872-01-06,9000.0,0.0,0.0,12500000.0,0.0,0.0
