Date,Close
1/3/50,16.66
1/4/50,16.85
1/5/50,16.93
1/6/50,16.98
1/9/50,17.08
1/10/50,17.030001
1/11/50,17.09
1/12/50,16.76
1/13/50,16.67
1/16/50,16.719999
1/17/50,16.860001
1/18/50,16.85
1/19/50,16.870001
1/20/50,16.9
1/23/50,16.92
1/24/50,16.860001
1/25/50,16.74
1/26/50,16.73
1/27/50,16.82
1/30/50,17.02
1/31/50,17.049999
2/1/50,17.049999
2/2/50,17.23
2/3/50,17.290001
2/6/50,17.32
2/7/50,17.23
2/8/50,17.209999
2/9/50,17.280001
2/10/50,17.24
2/14/50,17.059999
2/15/50,17.059999
2/16/50,16.99
2/17/50,17.15
2/20/50,17.200001
2/21/50,17.17
2/23/50,17.209999
2/24/50,17.280001
2/27/50,17.280001
2/28/50,17.219999
3/1/50,17.24
3/2/50,17.23
3/3/50,17.290001
3/6/50,17.32
3/7/50,17.200001
3/8/50,17.190001
3/9/50,17.07
3/10/50,17.09
3/13/50,17.120001
3/14/50,17.25
3/15/50,17.450001
3/16/50,17.49
3/17/50,17.450001
3/20/50,17.440001
3/21/50,17.450001
3/22/50,17.549999
3/23/50,17.559999
3/24/50,17.559999
3/27/50,17.459999
3/28/50,17.530001
3/29/50,17.440001
3/30/50,17.299999
3/31/50,17.290001
4/3/50,17.530001
4/4/50,17.549999
4/5/50,17.629999
4/6/50,17.780001
4/10/50,17.85
4/11/50,17.75
4/12/50,17.940001
4/13/50,17.98
4/14/50,17.959999
4/17/50,17.879999
4/18/50,18.030001
4/19/50,18.049999
4/20/50,17.93
4/21/50,17.959999
4/24/50,17.83
4/25/50,17.83
4/26/50,17.76
4/27/50,17.860001
4/28/50,17.959999
5/1/50,18.219999
5/2/50,18.110001
5/3/50,18.27
5/4/50,18.120001
5/5/50,18.219999
5/8/50,18.27
5/9/50,18.27
5/10/50,18.290001
5/11/50,18.290001
5/12/50,18.18
5/15/50,18.26
5/16/50,18.440001
5/17/50,18.52
5/18/50,18.559999
5/19/50,18.68
5/22/50,18.6
5/23/50,18.709999
5/24/50,18.690001
5/25/50,18.690001
5/26/50,18.67
5/29/50,18.719999
5/31/50,18.780001
6/1/50,18.77
6/2/50,18.790001
6/5/50,18.6
6/6/50,18.879999
6/7/50,18.93
6/8/50,19.139999
6/9/50,19.26
6/12/50,19.4
6/13/50,19.25
6/14/50,18.98
6/15/50,18.93
6/16/50,18.969999
6/19/50,18.92
6/20/50,18.83
6/21/50,19
6/22/50,19.16
6/23/50,19.139999
6/26/50,18.110001
6/27/50,17.91
6/28/50,18.110001
6/29/50,17.440001
6/30/50,17.690001
7/3/50,17.639999
7/5/50,17.809999
7/6/50,17.91
7/7/50,17.67
7/10/50,17.59
7/11/50,17.32
