,Date,Mag,Price_Day_0,Price_Day_7,Price_Day_14,Price_Day_30,Appr_Day_7,Appr_Day_14,Appr_Day_30
0,1952-07-21,7.5,24.950001,25.200001,25.43,24.950001,1.0020039678555523,1.9238436102667866,0.0
1,1954-07-06,6.8,29.92,30.02,29.84,30.77,0.3342245989304741,-0.2673796791443912,2.8409090909090837
2,1954-12-16,6.92,34.93,35.369999,35.740002000000004,34.580002,1.2596593186372753,2.3189292871457323,-1.0019982822788416
3,1954-12-16,7.26,34.93,35.369999,35.740002000000004,34.580002,1.2596593186372753,2.3189292871457323,-1.0019982822788416
4,1959-08-18,7.3,58.619999,58.990002000000004,58.869999,56.41,0.6311890247558757,0.42647561287061775,-3.770042711873815
5,1965-04-29,6.73,88.93,89.91999799999999,90.269997,88.720001,1.1132328797930795,1.5067997301248135,-0.23613966040707352
6,1983-05-02,6.7,162.110001,165.809998,163.399994,162.550003,2.2823989742619246,0.7957516452053943,0.27142187236183696
7,1983-10-28,6.9,163.369995,162.440002,166.28999299999998,166.53999299999998,-0.5692556947192146,1.7873526898253211,1.9403795660274048
8,1989-10-18,6.9,341.76001,342.5,341.200012,341.609985,0.21652328486295908,-0.16385708790212386,-0.04389776322865505
9,1992-06-28,7.3,408.940002,413.839996,414.869995,417.519989,1.1982183146759002,1.4500887589862204,2.0981041125930293
10,1994-01-17,6.7,473.299988,471.97000099999997,481.60998499999994,472.790009,-0.28100296507930966,1.7557568583754017,-0.1077496329875223
11,1999-10-16,7.1,1254.130005,1293.630005,1354.119995,1394.390015,3.1495937297186347,7.972856849079218,11.183849317120833
12,2001-02-28,6.8,1239.939941,1261.890015,1166.709961,1160.329956,1.7702529996974956,-5.905929600182148,-6.42047105408955
