Year,Mo,Dy,Tsunami,Volcano,Name,Latitude,Longitude,Depth,Magnitude,Deaths/Num,Deaths/Scale,Missing/Num,Missing/Scale,Injuries/Num,Injuries/Scale,Damage/$Mill,Damage/ Scale,Houses Destroyed/ Num,Houses Destroyed/ Scale,Houses Damaged/ Num,Houses Damaged/ Scale
1918,2,13,Tsu,,CHINA: GUANGDONG PROVINCE,23.5,117.2,23,7.3,2000,4,,,,4,,4,,4,,
1918,8,15,Tsu,,PHILIPPINES: MINDANAO: COTABATO,5.5,123,33,8.3,46,1,,,,,,3,,,,
1918,10,11,Tsu,,PUERTO RICO: MONA PASSAGE,18.5,-67.5,60,7.3,,3,,,,,4,2,,,,
1919,1,1,Tsu,,PHILIPPINES: MINDANAO ISLAND,8,126,33,7.4,,,,,,,,,,,,
1919,6,29,,,ITALY: N,44,11.5,33,6.2,,,,,,,,,,,,
1919,10,22,Tsu,,ITALY: TYRRHENIAN SEA,41.4,12.6,10,5.6,,,,,,,,,,,,
1920,9,7,,,"ITALY: CARRARA,GARFAGNANA",44.3,10.3,10,5.8,1400,4,,,,,,,,,,
1920,11,26,,,"ALBANIA: TEPELENE, DRAGOTI, PESHTANI, MARICAJ",40.2,20,25,6.2,200,3,,,,,,3,,3,,
1920,12,16,Tsu,,"CHINA: GANSU PROVINCE, SHANXI PROVINCE",36.601,105.317,25,8.3,200000,4,,,,,25,4,,,,
1920,12,17,,,ARGENTINA: MENDOZA,-32.7,-68.4,10,6,400,3,,,,,,3,,3,,
1921,11,11,Tsu,,PHILIPPINES: MINDANAO: E,8,127,60,7.5,,,,,,,,1,,,,2
1922,3,24,,,BALKANS NW: SERBIA,44.4,20.4,12,6,,3,,,,,,3,,,,
1922,11,11,Tsu,,CHILE: ATACAMA,-28.553,-70.755,35,8.7,500,3,,,,,,3,,3,,
1923,2,3,Tsu,,RUSSIA: KAMCHATKA,54,161,19,8.3,,,,,,,,1,,1,,
1923,2,4,,,IRAN: BODZHNURD,37.6,57.3,10,5.5,,,,,,,,2,,,,
1923,3,2,Tsu,,PHILIPPINES: MINDANAO ISLAND,6.5,124,22,7.2,,,,,,,,,,,,
1923,3,24,,,CHINA: SICHUAN PROVINCE,31.5,101,13,7.3,4800,4,,,,,,3,,4,,
1923,4,13,Tsu,,RUSSIA: NEAR KAMCHATKA,56.5,162.5,20,7.2,,,,,,,,2,,2,,
1924,4,14,Tsu,,"PHILIPPINES: E MINDANAO: MATI,SURIGA",6.5,126.5,33,8.3,,,,,,,,3,,3,,
1924,8,30,Tsu,,"PHILIPPINES: MINDANAO: SURIGAO,BUTUAN",8.5,126.5,33,7.3,,,,,,,,2,,2,,
1925,5,5,Tsu,,"W. LUZON ISLAND, PHILIPPINES",9.3,122.7,33,6.8,17,1,,,,,,2,,2,,
1925,5,25,Tsu,,PHILIPPINES: LUZON: W,12.2,122.1,10,6.3,,,,,,,,,,,,
1925,6,28,,,MONTANA: CLARKSTON VALLEY,46.4,-111.24,25,6.7,,,,,,,0.15,1,,,,2
1925,6,29,,,CALIFORNIA: SANTA BARBARA,34.418,-120.196,10,6.8,13,1,,,,,8,3,,3,,
1925,11,13,Tsu,,"PHILIPPINES: SAMAR I, LAOANG I, BATAG I",13,125,22,7.3,,,,,,3,,2,,3,,
1926,6,26,,,GREECE: RHODES ISLAND; LOWER EGYPT,36.5,27.5,100,7.9,,2,,,,,,3,,,,
1926,8,17,Tsu,,ITALY: SALINA ISLAND,38.567,14.833,100,5.3,,,,,,,,3,,,,
1926,10,22,,,TURKEY; ARMENIA,40.7,43.7,7,5.7,360,3,,,,,,4,,,,
1927,5,15,,,BALKANS NW: SERBIA,44.1,20.5,12,5.9,,,,,,,,,,,,
1927,5,22,,,CHINA: GANSU PROVINCE,36.75,102,27,7.6,40912,4,,,524,3,,4,26674,4,,
1927,6,26,Tsu,,UKRAINE: CRIMEA: SEBASTOPOL,44.4,34.4,27,6,,,,,,,,2,,,,
1927,7,1,,,GREECE: OETYLOS (LACONIA),36.75,22.75,120,7.3,,,,,,,,,,,,
1927,9,11,Tsu,,UKRAINE: CRIMEA: SEBASTOPOL,44.4,34.5,17,6.8,11,1,,,122,3,,4,,4,,4
1927,9,24,,,UKRAINE: CRIMEA: SEBASTOPOL,44.4,34.3,23,5.7,,,,,,2,,,,1,,2
1927,10,24,Tsu,,ALASKA: SE ALASKA,57.69,-136.07,0,7.1,,,,,,,,1,,,,
1927,11,4,Tsu,,CALIFORNIA: S: OFF COAST,34.813,-120.774,10,7.3,,,,,,,,2,,,,
1928,3,27,,,ITALY: TOLMEZZO,46.4,13,33,5.8,,,,,40,1,,2,,3,,
1928,4,9,Tsu,,PERU,-13,-69.5,30,6.9,,,,,,,,3,,3,,
1928,4,14,,,BULGARIA: CHIRPAN,42.2,25.3,7,6.8,127,3,,,1735,4,,4,74750,4
1928,4,18,,,BULGARIA: POPOVITSA,42.1,25,10,7,,3,,,,4,,4,,4
1928,4,22,Tsu,,GREECE: CORINTH (CORINTHIA),38,23,29,6,20,1,,,,,,4,3000,4
1928,6,15,Tsu,,PHILIPPINES: SW MINDORO,12.4,120.9,33,7,,,,,,,,2,,2
1928,7,18,Tsu,,PERU,-5.5,-79,70,7,,,,,,,,,,
1928,8,21,,,IRAN: SHIRVAN,37.3,57.9,9,5.4,10,1,,,,,,2,,
1928,12,1,Tsu,,"CHILE: TALCA, CHILLAN, SANTIAGO, SAN FERNANDO",-35,-72,25,7.6,279,3,,,,,,3,,3
1929,1,13,,,RUSSIA: KURIL ISLANDS,49.8,154.8,140,7.7,,,,,,,,,,
1929,3,7,Tsu,,ALASKA: ALEUTIAN ISLANDS: FOX ISLANDS,51,-170,50,7.8,,,,,,,,,,
1929,5,18,,,TURKEY: SUSEHRI,40.2,37.9,10,6.5,64,2,,,,,,,,
1929,7,23,,,ICELAND,63.9,-21.7,33,6.3,,,,,,,,,,
1929,11,18,Tsu,,CANADA: GRAND BANKS,44.69,-56,18,7.3,,,,,,,,1,,
1930,1,28,,,"ALBANIA: KORCE, POLENA, LAVDAR, MOSKOPOJE, SHIPSKE",40.4,20.5,33,5.6,,,,,,,,,,
1930,2,14,,,GREECE: AITANIA-VATHIA (CRETE),35.8,24.8,130,6.7,,2,,,,,,,,
1930,7,23,,,ITALY: IRPINIA,41.1,15.4,7,6.5,1430,4,,,,,,3,3188,4
1930,8,31,Tsu,,CALIFORNIA: SOUTHERN,34.03,-118.643,15,5.2,,,,,,,,1,,
1930,11,21,,,"ALBANIA: VLORE, HIMARE, KUC",40.5,19.5,12,6,35,1,,,108,3,,3,980,3,,
1930,12,2,,,"ALBANIA: VLORE, TEPELENE",40.3,19.6,4,5,25,1,,,,,,2,,,,
1930,12,24,,,ARGENTINA: LA POMA,-24.7,-66.3,30,6,39,1,,,,3,,3,,3,,3
1931,1,15,,,MEXICO: OAXACA,16.1,-96.8,50,7.9,,,,,,,,,,,,
1931,1,28,,,ALBANIA: KORCE,40.6,20.8,33,5.8,90,2,,,,,,3,,,,
1931,2,2,Tsu,,NEW ZEALAND: HAWKE BAY,-39.772,176.025,35,7.7,256,3,2,1,400,3,25,4,,,,
1931,3,8,,,GREECE,41,22.5,120,6.9,,,,,,,,,,,,
1931,4,27,,,"ARMENIA: ZANGEZUR, NAKHITCHEVAN",39.2,46,22,6.3,2890,4,,,,,,4,,,,
1931,6,7,Tsu,,"UK: SCARBOROUGH, GRIMSBY",54,1.067,70,6,,,,,,,,1,,,,1
1931,8,10,,,CHINA: XINJIANG WEIWUER ZIZHIQU PROVINCE: N,47.1,89.8,25,8,10000,4,,,,,,4,,4,,
1932,1,20,,,PERU,-12,-77.5,100,6.8,,,,,,,,,,,,
1932,4,6,,,CHINA: HUBEI PROVINCE,31.4,115,15,6,6,1,,,27,1,,2,,3,,
1932,5,20,,,IRAN: TORBET-I-KHEYDARLY,36.6,53.4,12,5.4,1070,4,,,,,,3,,,,
1932,6,3,Tsu,,MEXICO: NEAR COAST OF JALISCO,19.5,-104.25,60,8.1,400,3,,,120,3,,3,,3,,
1932,6,18,Tsu,,"MEXICO: CENTRAL, COLIMA",19.452,-103.632,54,7.9,,,,,,,,2,,,,
1932,9,26,Tsu,,GREECE: HIERISSOS-STRANTONION (CHALKIDIKI),40.5,23.9,35,6.9,161,3,,,669,3,,4,4106,4,3218,4
1933,3,11,Tsu,,CALIFORNIA: LONG BEACH,33.62,-117.97,16,6.3,120,3,,,,,40,4,,,,
1933,4,23,Tsu,,GREECE: DODECANESE ISLANDS,36.8,27.2,16,6.4,,,,,,,,,,,,
1933,11,3,,,CHILE,-22,-70.5,70,5.5,,,,,,,,,,,,
1934,1,15,Tsu,,NEPAL; INDIA: BIHAR,26.773,86.762,35,8,10600,4,,,,,,4,,4,,4
1935,1,4,,,TURKEY,40.5,27.5,7,6.2,5,1,,,,,,2,,,,
1935,4,11,,,"IRAN: KEVSUT, ALBORZ, SARI",36.3,53.5,14,6.3,690,3,,,,,,3,,,,
1935,5,30,Tsu,,PAKISTAN: QUETTA,29.5,66.8,33,7.5,60000,4,,,,,25,4,,4,,4
1935,12,28,Tsu,,"INDONESIA: N SUMATERA: BATU I,PADANG,SIBOLGA",,98.25,33,7.9,,,,,,1,,2,,2,,
1936,4,1,Tsu,,INDONESIA: TALAUD ISLANDS,4.5,126.5,60,7.7,,,,,3,1,,2,169,3,,
1936,6,30,,,RUSSIA: KOMANDORSKY ISLAND,55,165,20,7.2,,,,,,,,,,,,
1937,1,7,,,CHINA: QINGHAI PROVINCE,35.5,97.6,60,7.5,,,,,,,,1,,,,
1937,8,20,Tsu,,PHILIPPINES: LUZON,14.5,121.5,60,7.5,1,1,,,200,3,,3,,3,,3
1937,9,27,,,"INDONESIA: JAVA: JOGYAKARTA: KLUMPIT,PRAMBANAN",-9.4,110.2,70,7.2,1,1,,,,,,3,326,3,2200,4
1937,11,14,,,AFGHANISTAN: HINDU KUSH,36.5,70.5,240,7.2,,,,,,,,3,,,,
1937,12,24,,,"PERU: HUANCABAMBA,OXAPAMPA,EL PROGRESO,SAN DAVID",-10.5,-76.5,10,6.2,15,1,,,,,,2,,,,
1938,4,19,,,TURKEY: KIRSEHIR,39.4,33.8,33,6.7,224,3,,,,,,3,,,,
1938,8,10,,,"ECUADOR: ALANGASI,SANGOLQUI,TINGO-PICHINCHA",-0.3,-78.4,10,6.3,,,,,,,,,,
1938,11,10,Tsu,,ALASKA,55.48,-158.37,25,8.2,,,,,,,,,,
1939,1,25,Tsu,,CHILE: CHILLAN,-36.25,-72.25,60,8.3,30000,4,,,,,920,4,,4
1939,5,6,Tsu,,"PHILIPPINES: LUZON ISLAND, MINDOR ISLAND",13.5,121.25,110,6.5,,,,,,,,,,
1939,5,8,Tsu,,AZORES: ATLANTIC,37.053,-24.427,16,6.5,,,,,,,,,,
1939,6,22,Tsu,,GHANA: ACCRA,5.18,-0.13,13,6.4,22,1,,,130,3,,3,1500,4
1939,11,21,,,TURKEY: ERZINCAN,39.7,40.4,80,5.9,13,1,,,,,,2,,
1939,12,26,Tsu,,TURKEY: ERZINCAN,39.77,39.533,35,7.7,32700,4,,,,,20,3,,4
1940,1,15,Tsu,,ITALY,38.1,13.5,15,4.8,,,,,,,,,,
1940,5,19,,,CALIFORNIA; MEXICO,32.733,-115.5,16,7.2,9,1,,,,,33,4,,
1940,5,24,Tsu,,PERU,-10.5,-77,60,8.2,179,3,,,3500,4,,3,,3
1940,8,1,Tsu,,JAPAN: W. HOKKAIDO ISLAND,44.2,139.5,10,7.5,,,,,,,,1,,
1940,11,10,,,ROMANIA,45.8,26.8,150,7.3,1000,3,,,,,10,3,,
1941,4,15,,,"MEXICO: MICHOACAN, COLIMA, JALISCO",18.9,-102.9,60,7.9,,,,,,,,,,
1941,9,10,,,"TURKEY: VAN, ERCIS",39.5,43.3,28,6,430,3,,,,,,,,
1941,11,12,,,TURKEY: ERZINCAN,39.7,39.4,70,5.9,15,1,,,,,,,,
1942,5,14,,,ECUADOR: GUAYAQUIL,-0.75,-81.5,30,7.9,200,3,,,,,2.5,2,,3,,
1942,8,24,Tsu,,"PERU: ICA, NAZCA",-15,-76,60,8.2,30,1,,,25,1,,3,,3,,
1942,8,27,,,"ALBANIA: PESHKOPIA, MAGELLARE",41.7,20.4,33,6,43,1,,,110,3,,3,,3,,
1942,12,29,,,BALKANS NW: CROATIA,43.4,17.2,15,6,,,,,,,,,,,,
1943,1,30,,,ECUADOR: GUAYAQUIL,-2.1,-80.5,100,6.9,,,,,,,,2,,,,3
1943,2,22,,,MEXICO: GUERRERO: PARICUTIN VOLCANO FORMS,16.7,-101.5,60,7.5,11,1,,,,,,3,,,,
1943,6,20,,,"TURKEY: HENDEK, ADAPAZARI",40.6,30.5,15,6.2,285,3,,,,,,3,,,,
1943,7,23,,,INDONESIA: JAVA: JOGYAKARTA,-9.5,110,90,8.1,213,3,,,2096,4,,3,,,2800,4
1943,11,26,,,"TURKEY: LADIK, SAMSUN, HAVZA",41,33.7,33,7.6,4020,4,,,5000,4,,4,40000,4,,
1944,2,1,,,TURKEY,41.4,32.7,33,7.4,2381,4,,,,,,3,,,,
1944,4,5,,,IRAN: GORGAN,36.8,54.5,7,4.8,20,1,,,,,,2,,,,
1944,6,25,,,TURKEY: USAK,38.9,29.3,33,6,21,1,,,,,,,,,,
1944,7,30,,,GREECE: KAMPOS (LACONIA),36.7,22.5,8,5.7,,,,,,,,,,,,
1944,9,5,,,NEW YORK: MASSENA,44.957,-74.723,12,5.6,,,,,,,2,2,,,,
1945,3,20,,,"TURKEY: AELANA, CEYHAN, ADANA",37.4,35.8,60,6,300,3,,,,,,,,,,
1945,11,27,Tsu,,PAKISTAN: MAKRAN COAST,24.5,63,15,8,4000,4,,,,,25,4,,,,
1946,2,21,,,"TURKEY: IIGIN, KONYA",38.2,31.8,60,5.6,12,1,,,,,,,,,,
1946,4,1,Tsu,,ALASKA: UNIMAK ISLAND,53.492,-162.832,15,8.6,,,,,,,,,,,,
1946,9,30,Tsu,,PERU: PISCO,-14,-76.25,70,7,,,,,,,,2,,,,3
1946,11,2,,,KYRGYZSTAN,41.5,72.5,35,7.6,,,,,,,,2,,,,
1946,11,10,,,"PERU: JOCAIBAMBA,CERRO ANGASCHAJ,CERRO SILLAPATA",-8.5,-77.5,12,7.3,800,3,,,,,,3,,,,
1947,3,25,Tsu,,NEW ZEALAND: OFF COAST NORTH ISLAND,-38.85,178.87,12,7.1,,,,,,,,1,,1,,
1947,7,10,,,IRAN: SHIRVAN,37.5,57.8,9,4.1,,,,,,,,2,,,,
1947,10,6,Tsu,,GREECE: S: PYLIA (MESSINIA),37,22,28,6.9,3,1,,,20,1,,4,7000,4,,
1947,11,1,,,"PERU: SATIPO,ANDAMARCA,ACOBAMBA,LA MERCED,VICTOC",-10.5,-75,100,7.3,233,3,,,,,,3,,,,
1948,1,24,Tsu,,"PHILIPPINES: PANAY, ILOILO CITY, ANTIQUE",10.5,122,33,8.3,72,2,,,,,3.5,2,,3,,3
1948,2,9,Tsu,,GREECE: DODECANESE ISLANDS,35.5,27,30,7.1,,,,,,,,,,,,
1948,4,22,Tsu,,GREECE: VASILIKI (LEUKAS),38.532,20.425,15,6.5,2,1,,,45,1,,3,244,3,2022,4
1948,5,11,,,"PERU: AREQUIPA,MOQUEGUA,TACNA,TORATA,QUELLAVECO",-17.4,-71,60,7.1,1,1,,,,,,2,,,,
1948,5,25,,,CHINA: SICHUAN PROVINCE,29.5,100.5,18,7.3,800,3,,,200,3,,3,600,3,,
1948,5,28,,,PERU: CANETE,-13.1,-76.2,55,6.8,4,1,,,,,,2,,,,
1948,6,30,,,GREECE: TSOUKALADES-KALAMITSI (LEUKAS),38.5,20.5,33,6.4,6,1,,,,,,2,,,,
1948,10,5,,,TURKMENISTAN: ASHKHABAD,37.95,58.32,18,7.3,110000,4,,,,4,25,4,,4,,
1948,12,26,Tsu,,CHILE: ANTOFAGASTA,-22.5,-69,100,7,,,,,,,,,,,,
1949,3,4,,,"AFGHANISTAN: HINDU-KUSH, WEST PUNJAB",36,70.5,230,7.5,,,,,,,,2,,,,
1949,7,10,,,TAJIKISTAN,39.2,70.8,16,7.4,3500,4,,,,,,4,,4,,
1949,8,4,,,ECUADOR: PELILEO,-1.4,-78.5,10,6.7,,,,,,,,,,,,
1950,1,30,Tsu,,CHILE: SOUTHERN,-53.5,-71.5,33,7,,1,,,,,,,,,,
1950,2,28,,,RUSSIA: SEA OF OKHOTSK,46,144,340,7.9,,,,,,,,,,,,
1950,8,5,,,ECUADOR,-1.5,-78.2,60,6.8,,,,,,,,,,,,
1950,8,15,Tsu,,INDIA-CHINA,28.5,96.5,33,8.6,1530,4,,,,,20,3,,,,
1950,12,9,,,CHILE-ARGENTINA,-23.5,-67.5,100,8,1,1,,,,2,,,,,,
1950,12,14,,,TONGA ISLANDS,-19.5,-176,200,7.7,,,,,,,,,,,,
1950,12,14,Tsu,,MEXICO: ACAPULCO,16.48,-98.22,50,7.5,,,,,,,,3,,,,
1952,3,4,Tsu,,JAPAN: HOKKAIDO,42.15,143.85,45,8.1,33,1,,,,3,,3,,3,,
1952,7,21,,,CALIFORNIA: KERN COUNTY,35,-119.017,16,7.7,12,1,,,,3,60,4,,3,,2
1952,8,22,,,CALIFORNIA: KERN COUNTY,35.333,-118.917,16,5.8,2,1,,,,2,10,3,90,2,,
1952,11,4,Tsu,,RUSSIA: KAMCHATKA PENINSULA,52.755,160.057,22,9,,1,,,,,,,,,,
1953,5,6,Tsu,,"CHILE: CHILLAN, CONCEPCION",-36.5,-72.5,60,7.6,9,1,,,26,1,500,4,,,,
1953,8,11,,,GREECE: ASPROGERAKAS (KEPHALLENIA),38.1,20.6,33,6.8,,,,,,,,,,,,
1953,12,12,Tsu,,OFF COAST OF PERU,-3.4,-80.6,30,7.4,6,1,,,20,1,,2,200,3,,
1954,2,28,,,AUSTRALIA: ADELAIDE: S,-34.9,138.7,4,5.4,,,,,,,,2,,,,
1955,3,31,,,"PHILIPPINES: MINDANAO: LANAO,OZAMIZ,COTABATO",8.1,123.2,96,7.6,400,3,,,,,5,2,,,,
1955,4,19,Tsu,,GREECE: DRAKIA-AGRIA (MAGNESIA),39.4,23.1,33,6.2,8,1,,,149,3,,4,459,3,8352,4
1955,4,19,Tsu,,CHILE,-30,-72,30,7.1,,,,,,,,,,,,
1955,9,23,Tsu,,CHINA: YUNNAN PROVINCE,26.6,101.8,10,6.8,,1,,,,,,3,15000,4,,
1956,1,31,,,"BALKANS NW: SLOVENIA: ILIRSKA BISTRICA,KOSEZE",45.5,14.3,7,4.5,,,,,,,,2,,,,
1956,7,9,Tsu,,GREECE: DODECANESE,36.9,26,20,7.8,53,2,,,,,,3,,,,
1956,10,11,,,RUSSIA: KURIL ISLANDS,46,150.5,110,7.6,,,,,,,,,,,,
1957,4,25,,,"TURKEY: FETHIYE (LYCIA, ASIA MINOR)",36.4,28.7,18,7.1,18,1,,,,,,,,,,
1957,6,27,,,RUSSIA: CHITA,56.2,116.4,15,7.6,,,,,,,,2,,,,
1957,7,2,,,"IRAN: HAZANDERAN, ABEGARM",36.1,52.7,14,6.6,1100,4,,,,,,3,,,,
1957,7,28,Tsu,,"MEXICO: ACAPULCO,MEXICO CITY",16.5,-99.1,25,7.9,65,2,,,,3,25,4,,3,,
1957,7,29,Tsu,,CHILE: ANTOFAGASTA,-23.5,-71.5,33,7,,,,,,,,,,,,
1957,12,4,,,MONGOLIA,45.5,99.5,33,8.1,30,1,,,,,,2,,,,
1958,1,15,,,PERU: AREQUIPA,-16.5,-72,60,7.3,28,1,,,,,,2,,,,
1958,1,19,Tsu,,COLOMBIA-ECUADOR,1.5,-79.5,60,7.6,111,3,,,46,1,,2,,2,,
1958,7,10,Tsu,,ALASKA: LITUYA BAY,58.37,-136.665,35,7.8,,,,,,,,1,,1,,
1958,10,20,,,INDONESIA: JAVA: MALANG,-9.5,112.5,100,6.7,8,1,,,1856,4,,2,95,2,206,3
1958,11,6,Tsu,,RUSSIA: KURIL ISLANDS: S,44.53,148.54,40,8.3,,,,,,,,2,,,,
1959,2,7,Tsu,,PERU-ECUADOR,-4,-81.5,19,7.4,,,,,,,,1,,,,1
1959,5,4,Tsu,,RUSSIA: NEAR EAST COAST OF KAMCHATKA,52.5,159.5,60,8.2,1,1,,,13,1,,2,,2,,
1959,6,18,,,RUSSIA: NEAR KAMCHATKA,53.9,160.5,15,7,,,,,,,,,,,,
1959,8,18,Tsu,,MONTANA: HEBGEN LAKE,44.712,-111.215,5,7.7,28,1,,,,,11,3,,,,
1959,9,1,,,ALBANIA,40.9,19.8,11,6.1,2,1,,,,,,3,,,,
1960,1,13,Tsu,,"PERU: AREQUIPA,CHUQUIBAMBA,CARAVELI,COTAHUASI",-15.75,-72.75,160,7.8,63,2,,,200,3,,3,,3,,
1960,2,29,Tsu,,MOROCCO: AGADIR,30.45,-9.62,33,5.9,13100,4,,,25000,4,120,4,,3,,
1960,5,22,Tsu,Vol,"CHILE: PUERTO MONTT, VALDIVIA",-38.143,-73.407,33,9.5,2000,4,,,3000,4,1000,4,58622,4,,
1961,3,16,,,INDONESIA: FLORES: ENDEH,-8.2,122,74,6.5,2,1,,,6,1,,2,,,,
1961,6,1,,,ETHIOPIA: KARAKORE,10.4,39.9,33,6.5,30,1,,,,3,,2,,,,
1961,6,11,,,CHINA: YUNNAN PROVINCE,24.97,98.63,33,5.8,,,,,,,,3,5740,4
1961,6,27,,,CHINA: YUNNAN PROVINCE,27.73,99.75,25,6,,,,,,,,3,11400,4
1962,1,7,,,BALKANS NW: CROATIA,43.3,17.1,33,5.9,4,1,,,,,,2,,
1962,1,11,Tsu,,BALKANS NW: CROATIA,43.3,17.1,33,6.1,1,1,,,,,,2,2290,4
1962,3,18,,,CHINA: GUANGDONG PROVINCE,23.72,114.67,25,6.1,1,1,,,2,1,,3,1200,4
1962,5,11,Tsu,,MEXICO: S,17.2,-99.6,40,7,4,1,,,,3,,2,,2
1962,6,24,,,CHINA: YUNNAN PROVINCE,25.2,101.2,18,6.2,,,,,,,,3,2550,4
1962,9,1,,,IRAN: BUYIN-ZARA,35.63,49.87,27,7.2,12225,4,,,2776,4,30,4,21310,4
1962,10,5,,,"IRAN: TORBAT HEYDARIYEH, AKHMEDABAD",35.1,58.7,8,5,6,1,,,,,,2,,
1963,1,31,,,"IRAN: KHENDODZHAN, DAKHNE-UDZHAK",36.9,57.8,3,4.5,4,1,,,,,,2,,
1963,5,19,,,BALKANS NW: SLOVENIA: LJUBLJANA,46.1,14.8,13,4.9,,,,,,,,2,,
1963,7,26,,,BALKANS NW: MACEDONIA: SKOPJE,42.1,21.3,5,6,1070,4,,,3300,4,1000,4,,4
1963,10,13,Tsu,,RUSSIA: KURIL ISLANDS,44.77,149.798,13,8.5,,,,,,,,1,,
1964,2,13,,,CHINA: YUNNAN PROVINCE,26.1,101,15,5.4,,,,,,,,1,,
1964,3,28,Tsu,,ALASKA,61.017,-147.648,33,9.2,15,1,,,,,284,4,,3
1964,4,2,Tsu,,INDONESIA: BANDA ACEH,5.9,95.7,130,7,,,,,,,,3,,3
1964,4,13,,,BALKANS NW: CROATIA,45.3,18.1,32,6,3,1,,,,,,3,,,,
1964,6,16,Tsu,,JAPAN: HONSHU: W COAST,38.65,139.2,40,7.5,26,1,,,450,3,80,4,2250,4,2250,4
1964,10,6,,,"TURKEY: MANYAS, BURSA, BALIKESIR",40.3,28.2,15,7,19,1,,,,,5,2,,,,
1964,11,17,Tsu,,PAPUA NEW GUINEA: NEW BRITAIN,-5.7,150.7,45,7.6,,,,,,,,1,,,,
1965,1,12,,,CHINA: SHANXI PROVINCE,35,111.63,10,5.5,,,,,,,,2,,3,,
1965,2,4,Tsu,,ALASKA: ALEUTIAN ISLANDS: RAT ISLANDS,51.29,178.55,36,8.7,,,,,,,,1,,,,
1965,3,14,,,AFGHANISTAN,36.3,70.7,219,7.3,,,,,,,,1,,,,
1965,3,22,Tsu,,CHILE: CENTRAL,-31.81,-71.26,58,6,,,,,,,,,,,,
1965,3,31,,,GREECE,38.6,22.4,78,7.1,6,1,,,,,,2,,,,
1965,4,5,,,GREECE: SOUTHERN,37.7,21.8,34,6.2,32,1,,,200,3,,3,,3,,
1965,4,29,,,WASHINGTON: SEATTLE,47.4,-122.3,59,6.6,7,1,,,,,28,4,,,,
1965,5,3,,,EL SALVADOR: SAN MARCOS,13.5,-89.3,23,6,125,3,,,1138,4,35,4,,,,
1965,7,3,,,CHINA: YUNNAN PROVINCE,22.4,101.6,15,6.1,,,,,,,,1,,,,
1965,7,6,Tsu,,NORTH CORINTH GULF,38.267,22.3,18,6.3,1,1,,,6,1,,2,,,,
1965,10,3,Tsu,,CHILE: SOUTHERN,-42.9,-75.13,28,6.5,,,,,,,,,,,,
1966,3,7,,,"TURKEY: VARTO, MUS",39.1,41.6,38,6,10,1,,,,,,3,,,,
1966,3,7,,,CHINA: HEBEI PROVINCE,37.35,114.92,8,7.4,,3,,,,,,4,,4,,
1966,3,22,,,CHINA: HEBEI PROVINCE,37.5,115.1,15,7.6,,3,,,,,,4,,4,,
1966,6,27,,,NEPAL-INDIA,29.554,80.854,23,6.3,80,2,,,100,2,1,2,5200,4,,
1966,7,12,Tsu,,RUSSIA: BLACK SEA,44.75,37,33,5.5,,,,,,,,,,,,
1966,8,19,,,TURKEY: VARTO,39.2,41.6,24,6.8,2394,4,,,,,20,3,,,,
1966,9,1,,,GREECE: SOUTHERN,37.5,22.1,17,5.9,1,1,,,25,1,14,3,180,3,,
1966,10,17,Tsu,,"PERU: LIMA,HUACHO,HUAURA, CHANCAY,SUPE,SAN NICOLAS",-10.748,-78.638,38,8.1,110,3,,,3000,4,35,4,,,,
1966,12,28,Tsu,,"CHILE: TALTAL, CATALINA",-25.5,-70.7,47,7.8,3,1,,,6,1,0.4,1,,3,,
1967,1,5,,,MONGOLIA,48.1,102.8,35,7.5,,,,,,,,1,,,,
1967,2,9,,,"COLOMBIA: HUILA, NEIVA, RIVERA,SAN ANTONIO",2.9,-74.9,60,6.8,98,2,,,,,20,3,,,,
1967,2,19,,,"INDONESIA: JAVA: DAMPIT,GONDANG,TRENGGALEK",-9.2,113.1,80,6.8,54,2,,,300,3,,3,2000,4,5000,4
1967,3,19,Tsu,,RUSSIA: KURIL ISLANDS,45.53,151.11,38,7,,,,,,,,,,,,
1967,3,27,,,"CHINA: HEBEI PROVINCE: HEJIAN, DACHENG",38.5,116.5,30,6.3,,,,,,,,3,53886,4,,
1967,7,22,,,"TURKEY: MUDURNU, ADAPAZARI",40.7,30.8,4,7.3,86,2,,,,,3,2,,,,
1967,7,29,Tsu,,VENEZUELA,10.6,-67.3,10,6.5,300,3,,,1536,4,140,4,,,,
1967,8,13,,,"FRANCE: ARETTE,LANNE,MONTORY,ARAMITS,HAUX,SUNHAR",43.2,-0.5,15,5.3,1,1,,,80,2,,2,,3,,
1967,8,30,,,CHINA: SICHUAN PROVINCE,31.6,100.3,10,6.8,,,,,,,,4,,4,,
1967,11,30,,,ALBANIA,41.5,20.5,29,6.5,18,1,,,,,20,3,,,,
1967,12,2,,,CHINA: HEBEI PROVINCE: SHULU,37.717,115.217,25,5.7,,,,,,,,2,,1,,
1967,12,10,,,INDIA,17.7,73.9,33,6.5,180,3,,,,,0.4,1,,,,
1967,12,18,,,CHINA: SHANXI PROVINCE,36.467,111.217,30,5.4,,,,,,,,1,,1,,
1968,2,12,,,PAPUA NEW GUINEA: NEW IRELAND,-5.5,153.2,74,7.8,,,,,,,,1,,,,
1968,2,19,Tsu,,GREECE: AEGEAN SEA: ST EUSTRATIOS,39.368,24.957,15,7.2,20,1,,,18,1,0.6,1,500,3,1951,4
