Year,Mo,Dy,Tsunami,Volcano,Name,Latitude,Longitude,Depth,Magnitude,Deaths/Num,Deaths/Scale,Missing/Num,Missing/Scale,Injuries/Num,Injuries/Scale,Damage/$Mill,Damage/ Scale,Houses Destroyed/ Num,Houses Destroyed/ Scale,Houses Damaged/ Num,Houses Damaged/ Scale
1699,7,14,,,PERU: LIMA,-12.1,-76.6,40,7.8,,,,,,,,3,,
1707,9,17,,,PERU: CUZCO,-13,-72,10,5.8,160,3,,,,,,,,
1715,8,23,Tsu,,"PERU: MOQUEGUA, AREQUIPA; CHILE: ARICA",-17.3,-70.8,80,7.5,,1,,,,,,1,,1
1716,2,6,,,PERU: PUEBLO DE TORATA IN TACNA,-17.2,-71.2,40,8.8,,3,,,,,,1,,
1716,2,11,,,PERU,-13.7,-76,50,8.6,,,,,,,,,,,,
1716,,,,,"CHINA: S XINJIANG: AKSU, BALKHASH",41.2,80.3,30,7.5,,,,,,,,3,,,,
1725,1,7,,,"PERU: TRUJILLO, ANCASH, LIMA",-9,-79,60,7.7,1500,4,,,,,,3,,3,,
1725,1,8,,,PERU: AREQUIPA,-16.4,-70.8,3,7.6,,,,,,,,1,,,,1
1725,2,1,,,RUSSIA: E OF LAKE BAYKAL,56.5,118.5,50,8.2,,,,,,,,,,,,
1737,11,4,,,RUSSIA: OFF KAMCHATKA,55.5,163,20,7.8,,,,,,,,,,,,
1737,12,17,Tsu,,RUSSIA: KURIL ISLANDS,50,157,50,7.5,,,,,,,,,,,,
1742,6,27,,,RUSSIA: LAKE BAYKAL,53.3,104,40,7.7,,,,,,,,,,,,
1746,10,29,Tsu,,"PERU: LIMA, CALLAO",-11.996,-77.198,30,8,1141,4,,,,,,4,2975,4,,
1761,12,9,,,RUSSIA; MONGOLIA,50,90,30,7.7,,,,,,,,,,,,
1769,10,24,,,RUSSIA: LAKE BAYKAL,51.8,105.5,40,7.3,,,,,,,,,,,,
1780,1,8,,,IRAN: TABRIZ,38,46.2,20,7.7,50000,4,,,,,,4,,4,,
1783,2,5,Tsu,,ITALY: TYRRHENIAN CALABRIA,38.3,15.967,13,6.9,30000,4,,,,,,4,,4,,
1783,2,6,Tsu,,ITALY: MESSINA STRAITS,38.217,15.633,6,5.9,,,,,,,,,,,,
1790,12,2,,,RUSSIA: NEAR KAMCHATKA,54,162,20,7.5,,,,,,,,,,,,
1791,4,15,Tsu,,RUSSIA: KAMCHATKA,56,163,20,6.8,,,,,,,,,,,,
1792,8,22,Tsu,,RUSSIA: NEAR KAMCHATKA,54,162,40,8.4,,,,,,,,,,,,
1799,,,,,UZBEKISTAN: UZGUT,39.4,67.2,10,6,,,,,,,,3,,,,
1802,10,26,,,"ROMANIA: CARPATHIAN FOLD,VRANCEA",45.7,26.6,150,7.4,,,,,,,,2,,,,
1806,12,1,Tsu,,PERU: LIMA,-12.1,-77.1,30,7.5,,,,,,,,1,,,,
1811,1,1,,,GEORGIA: KAKHETIYA,41.8,45.2,7,4.2,,,,,,,,2,,,,
1812,3,26,Tsu,,VENEZUELA: LA GUAIRA,10.6,-66.9,33,7.7,26000,4,,,,,,3,,,,
1816,7,22,,,GUATEMALA: SOLOMA,15.5,-91.5,33,7.5,23,1,,,,,,3,,3,,3
1828,3,30,Tsu,,"PERU: LIMA, CALLAO",-12.13,-77.809,50,8.3,30,1,,,,3,,2,,,,2
1828,8,9,,,AZERBAIJAN: SHEMAKHA (SEMACHA),40.7,48.4,10,5.7,,,,,,,,3,,,,
1829,3,7,,,RUSSIA: LAKE BAYKAL,51.4,104.1,40,7.5,,,,,,,,,,,,
1830,3,9,,,RUSSIA: DAGESTAN,43,47,16,6.3,40,1,,,,,,2,,,,
1833,11,24,Tsu,,INDONESIA: SUMATRA: BENGKULU,-2.5,100.5,75,8.3,,,,,,,,2,,1,,1
1834,1,20,,,"COLOMBIA: PUTUMAYO,PASTO, POPAYAN, SANTA MARTA",1.2,-77,5,7,80,2,,,,,,3,,,,
1834,10,15,,,"HUNGARY: PISHKOL'T, ERENDREYD, DENGELEG",47.6,22.3,32,6.8,,,,,,,,3,,,,
1838,1,23,,,"ROMANIA: CARPATHIAN FOLD,VRANCEA",45.7,26.6,150,6.9,,,,,,,,2,,,,
1839,1,11,,,"MARTINIQUE: FORT-DE-FRANCE, ST PIERRE; CASTRIES",14.4,-61.1,33,7.8,390,3,,,,,,3,,,,
1840,1,4,Tsu,,INDONESIA: JAVA: PURWOREJO,-8,110.5,150,7,,,,,,,,3,,3,,
1840,8,27,,,BALKANS NW: SLOVENIA: LJUBLJANA,46.2,14.7,8,4.9,,,,,,,,2,,,,
1841,5,17,Tsu,,RUSSIA: OFF KAMCHATKA,52,158,30,8.4,,,,,,,,2,,,,
1842,1,2,,,AZERBAIJAN: APSCHERON PENINSULA,40.5,50,3,4.3,,,,,,,,2,,,,
1843,2,8,Tsu,,GUADELOUPE: POINTE-A-PITRE,16.5,-62.2,33,8.3,5000,4,,,,,,4,,,,
1845,12,21,,,BALKANS NW: SLOVENIA: LJUBLJANA,46.1,14.5,7,4.9,,,,,,,,2,,,,
1846,6,28,,,PERU,-14,-76.8,50,7.9,,,,,,,,,,,,
1846,8,14,Tsu,,"ITALY: ORCIANO, LUCIANA",43.4,10.6,5,6.1,56,2,,,,,,3,,,,
1849,2,26,,,VENEZUELA: TACHIRA (LOBATERA),7.3,-72.3,13,6,40,1,,,,,,2,,,,
1849,10,28,Tsu,,RUSSIA: KOMANDORSKY ISLAND,55,166,20,7.5,,,,,,,,,,,,
1852,1,9,Tsu,,INDONESIA: JAVA: DJAKARTA; SUMATRA: TELUKBETUNG,-6.5,105.5,150,6.5,,,,,,,,1,,,,1
1852,2,22,,,IRAN: KHABUSHAN (NW KUCHAN),37.1,58.4,10,5.8,2000,4,,,,,,3,,,,
