,Mag,Count
1,5.5,4904
2,5.6,4000
3,5.7,3077
4,5.8,2346
5,5.9,1946
6,6.0,1557
7,6.1,1192
8,6.2,882
9,6.3,765
10,6.4,571
11,6.5,461
12,6.6,364
13,6.7,299
14,6.8,231
15,6.9,191
16,7.0,161
17,7.1,124
18,7.2,97
19,7.3,64
20,7.4,53
21,7.5,47
22,7.6,47
23,7.7,38
24,7.8,29
25,7.9,23
26,8.0,13
27,8.1,6
28,8.2,9
29,8.3,6
30,8.4,2
31,8.6,2
32,8.8,1
33,9.1,2
