,Date,Mag,Price_Day_0,Price_Day_7,Price_Day_14,Price_Day_30,Appr_Day_7,Appr_Day_14,Appr_Day_30
343,1982-06-07,6.9,325.25,320.75,296.75,306.75,-1.3835511145272867,-8.76249039200615,-5.687932359723289
344,1982-06-07,7.0,325.25,320.75,296.75,306.75,-1.3835511145272867,-8.76249039200615,-5.687932359723289
345,1982-06-19,7.3,296.75,303.75,315.25,347.5,2.358887952822241,6.234203875315923,17.101937657961248
346,1982-06-30,6.9,317.5,306.75,352.75,342.9,-3.3858267716535435,11.10236220472441,7.999999999999993
347,1982-07-04,7.1,315.25,343.0,347.5,349.25,8.80253766851705,10.229976209357652,10.785091197462332
348,1982-07-07,7.0,306.75,352.75,366.5,344.75,14.995925020374898,19.47840260798696,12.387938060309699
349,1982-07-23,7.1,363.25,342.9,344.75,394.5,-5.602202339986242,-5.092911218169305,8.602890571231933
350,1982-08-05,7.0,346.5,334.75,356.65,474.0,-3.391053391053391,2.929292929292923,36.7965367965368
351,1982-08-19,6.8,356.65,417.0,409.75,424.25,16.921351465021736,14.888546193747377,18.954156736296095
352,1982-09-06,6.8,474.0,439.0,424.25,404.0,-7.383966244725738,-10.495780590717299,-14.767932489451477
353,1982-11-19,6.7,417.6,417.75,441.25,440.25,0.03591954022987961,5.663314176245205,5.423850574712638
354,1982-12-19,7.2,440.25,453.125,451.9666666666666,485.0,2.9244747302668936,2.6613666477380087,10.164679159568427
355,1983-01-16,6.7,498.5,476.0,499.5,509.25,-4.513540621865597,0.20060180541624875,2.156469408224674
356,1983-01-17,7.0,498.5,476.0,499.5,508.5,-4.513540621865597,0.20060180541624875,2.0060180541624875
357,1983-01-24,6.8,476.0,499.5,490.25,470.25,4.936974789915967,2.9936974789915967,-1.2079831932773109
358,1983-01-26,7.0,486.5,498.25,492.25,464.75,2.4152106885919835,1.18191161356629,-4.47070914696814
359,1983-02-25,6.9,464.75,412.5,420.5,408.75,-11.242603550295858,-9.521247982786445,-12.049488972565896
360,1983-03-12,6.7,428.5,414.5,408.75,426.75,-3.267211201866978,-4.609101516919487,-0.40840140023337224
361,1983-03-15,6.7,434.5,421.25,412.75,435.5,-3.049482163406214,-5.005753739930955,0.23014959723820483
362,1983-03-18,7.6,421.75,411.75,418.75,443.0,-2.3710729104919976,-0.7113218731475993,5.038529934795495
363,1983-03-21,6.7,414.5,408.75,422.75,433.75,-1.3872135102533172,1.9903498190591074,4.644149577804584
364,1983-04-03,7.1,422.75,426.75,443.0,433.5,0.9461856889414547,4.790065050266115,2.54287403903016
365,1983-04-04,6.9,422.75,426.75,443.0,432.75,0.9461856889414547,4.790065050266115,2.365464222353637
366,1983-04-08,6.7,421.25,436.5,437.0,434.0,3.620178041543027,3.7388724035608307,3.026706231454006
367,1983-04-12,7.0,432.75,439.5,435.5,439.75,1.559792027729636,0.635470826112074,1.6175621028307337
368,1983-04-18,7.0,443.0,441.5,431.375,442.75,-0.33860045146726864,-2.624153498871332,-0.056433408577878104
369,1983-05-02,6.7,431.375,434.0,436.25,410.0,0.6085192697768763,1.130107215299913,-4.955085482468849
370,1983-05-10,6.7,443.75,440.75,436.8,407.75,-0.676056338028169,-1.566197183098589,-8.112676056338028
371,1983-05-26,7.4,440.0,412.5,407.75,419.5,-6.25,-7.329545454545454,-4.659090909090909
372,1983-06-21,6.7,414.75,416.0,410.75,429.75,0.3013863773357444,-0.9644364074743822,3.616636528028933
373,1983-06-24,6.7,423.5,416.25,426.0,422.0,-1.7119244391971664,0.5903187721369539,-0.3541912632821724
374,1983-06-24,6.9,423.5,416.25,426.0,422.0,-1.7119244391971664,0.5903187721369539,-0.3541912632821724
375,1983-07-11,6.9,430.5,422.4,422.0,408.25,-1.8815331010453014,-1.9744483159117305,-5.168408826945412
376,1983-08-06,6.8,408.5,416.0,421.75,419.1,1.8359853121175032,3.2435740514075886,2.5948592411260765
377,1983-08-17,7.1,422.5,424.0,414.25,405.5,0.35502958579881655,-1.952662721893491,-4.023668639053255
378,1983-09-17,6.7,412.25,415.0,389.0,395.0,0.667070952092177,-5.639781685870225,-4.184354154032747
379,1983-10-04,7.4,393.5,399.0,397.25,377.75,1.3977128335451081,0.9529860228716646,-4.002541296060991
380,1983-10-09,6.7,401.0,395.0,394.5,382.25,-1.4962593516209477,-1.6209476309226933,-4.675810473815462
381,1983-10-22,7.2,394.5,382.0,379.0,374.25,-3.1685678073510775,-3.929024081115336,-5.133079847908745
382,1983-10-28,6.9,387.75,381.0,382.0,394.25,-1.7408123791102514,-1.4829142488716958,1.6763378465506125
383,1983-10-30,6.8,382.0,379.0,382.6,391.5,-0.7853403141361257,0.15706806282723107,2.486910994764398
384,1983-11-16,6.7,383.25,375.75,405.0,377.25,-1.9569471624266144,5.675146771037182,-1.5655577299412915
385,1983-11-24,7.3,375.5,399.25,401.0,378.45,6.324900133155793,6.790945406125166,0.7856191744340849
386,1983-11-30,7.3,405.0,399.75,389.0,382.6,-1.2962962962962963,-3.950617283950617,-5.530864197530859
387,1983-12-02,7.0,400.75,388.75,377.25,382.8,-2.9943855271366187,-5.864004990642545,-4.479101684341856
388,1983-12-21,6.9,378.6,378.0,374.0,371.25,-0.15847860538827857,-1.2150026413100958,-1.941362916006345
389,1983-12-30,7.4,382.6,375.25,373.25,369.85,-1.9210663878724574,-2.4438055410350294,-3.3324621014113953
390,1984-01-01,7.2,382.8,365.25,369.1,373.75,-4.584639498432605,-3.578892371995817,-2.364158829676074
391,1984-01-08,7.0,365.25,369.1,371.35,379.75,1.0540725530458652,1.670088980150588,3.969883641341547
392,1984-02-07,7.6,379.75,376.0,389.0,397.25,-0.9874917709019092,2.435813034891376,4.608294930875576
393,1984-03-05,7.3,405.85,395.75,393.6,381.25,-2.4886041641000425,-3.018356535665886,-6.061352716520887
394,1984-03-06,7.4,402.5,397.25,393.85,381.2,-1.3043478260869565,-2.149068322981361,-5.291925465838512
