Tsunami,Latitude,Longitude,Depth,Deaths,Missing,Injuries,Damage,Houses Destroyed,Houses Damaged
0.0,39.385,-20.590000000000003,3.0,0.0,0.0,0.0,1500000.0,0.0,0.0
0.0,27.787666666666667,28.188999999999997,16.333333333333332,0.0,0.0,0.0,1166666.6666666667,0.0,0.0
0.0,37.9295,-36.5935,6.0,0.0,0.0,0.0,1500000.0,0.0,0.0
0.0,40.15400000000001,31.733399999999996,4.8,0.0,0.0,11.8,1600000.0,0.0,20.0
0.0,25.672799999999995,58.955,23.6,10.6,0.0,14.2,6700007.0,10.0,113.8
0.0,32.555384615384625,-6.591153846153848,13.23076923076923,4.153846153846154,0.0,100.38461538461539,1884615.3846153845,204.92307692307693,99.84615384615384
0.0,29.940299999999997,-8.093599999999999,16.9,25.4,0.0,27.6,1300000.05,100.0,15.0
0.0,32.1388,22.52249999999999,13.7,150.5,0.0,653.5,5600041.09,4895.9,0.0
0.0,26.55921052631579,37.44205263157895,15.0,23.105263157894736,0.0,38.63157894736842,6710532.894736842,144.26315789473685,25.789473684210527
0.0,20.328842105263153,-11.542894736842111,16.526315789473685,33.89473684210526,0.0,187.1578947368421,4763160.805263158,176.78947368421052,112.0
0.0,20.8518,43.2442,18.75,338.55,0.0,491.2,5900051.55,6058.55,26.55
0.0,28.139535714285717,15.659999999999997,18.392857142857142,550.6428571428571,0.0,342.35714285714283,4750006.667857143,4824.678571428572,305.35714285714283
