,Mag,Count
1,5.5,5136
2,5.6,4437
3,5.7,3614
4,5.8,2939
5,5.9,2459
6,6.0,2117
7,6.1,1620
8,6.2,1265
9,6.3,1052
10,6.4,737
11,6.5,643
12,6.6,463
13,6.7,384
14,6.8,315
15,6.9,237
16,7.0,207
17,7.1,158
18,7.2,123
19,7.3,88
20,7.4,67
21,7.5,59
22,7.6,59
23,7.7,48
24,7.8,40
25,7.9,26
26,8.0,14
27,8.1,11
28,8.2,11
29,8.3,7
30,8.4,2
31,8.5,1
32,8.6,4
33,8.7,1
34,8.8,1
35,9.0,1
36,9.1,2
37,9.2,1
38,9.5,1
